NOBILIS,NOMBRE,SEXO*,NIVEL,EMERITO,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ESTADO,,,,,,,,,,,
DR.,"LLAMA LEAL,MIGUEL ANGEL",H,1,,INSTITUTO TECNOLOGICO DE LA LAGUNA,INSTITUTO TECNOLOGICO DE LA LAGUNA,COAHUILA,,,,,,,,,,,
DR.,"SANTIBAÐEZ DAVILA,VICTOR ADRIAN",H,3,,INSTITUTO TECNOLOGICO DE LA LAGUNA,INSTITUTO TECNOLOGICO DE LA LAGUNA,COAHUILA,,,,,,,,,,,
DR.,"SOTO RODRIGUEZ,ROGELIO",H,2,,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEON,,,,,,,,,,,
DR.,"VALDES PEREZGASGA,FRANCISCO",H,2,,INSTITUTO TECNOLOGICO DE LA LAGUNA,INSTITUTO TECNOLOGICO DE LA LAGUNA,COAHUILA,,,,,,,,,,,
DR.,"HAHN SCHLAM,FEDERICO FELIX",H,2,,UNIVERSIDAD AUTONOMA CHAPINGO,DEPTO. DE IRRIGACION,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"HUERTA QUINTANILLA,RODRIGO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,UNIDAD MERIDA,YUCATAN,,,,,,,,,,,
DR.,"LUCIO MARTINEZ,JOSE LUIS",H,3,,UNIVERSIDAD DE GUANAJUATO,CAMPUS LEON,GUANAJUATO,,,,,,,,,,,
DR.,"HERNANDEZ-VELA SALGADO,EDMUNDO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SANCHEZ RUIZ,ENRIQUE ERNESTO",H,3,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,JALISCO,,,,,,,,,,,
DR.,"MENDOZA ALVAREZ,JULIO GREGORIO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GONZALEZ DE LA CRUZ,GERARDO ACACIO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"HERNANDEZ LERMA,ONESIMO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE MATEMATICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SERRANO SANTOYO,ARTURO",H,2,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"MONTES BELMONT,ROBERTO",H,2,,INSTITUTO POLITECNICO NACIONAL,CENTRO DE DESARROLLO DE PRODUCTOS BIOTICOS,MORELOS,,,,,,,,,,,
DR.,"ZAPATA SCHAFFELD,FRANCISCO JUAN",H,3,,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS SOCIOLOGICOS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"VELASCO BELMONT,ROSA MARIA",M,3,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VARELA HAM,JUAN RUBEN",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"PALAZON MAYORAL,MARIA ROSA",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"DARSZON ISRAEL,ALBERTO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOTECNOLOGIA,MORELOS,,,,,,,,,,,
DR.,"ALVAREZ BORREGO,SAUL",H,3,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"LARA LARA,JOSE RUBEN",H,2,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"MARINONE MOSCHETTO,SILVIO GUIDO LORENZO",H,3,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"OCHOA DE LA TORRE,JOSE LUIS",H,3,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"GOMEZ VALDES,JOSE",H,2,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"B?CKLE RAMIREZ,LUIS FERNANDO",H,3,,NO ESPECIFICADO,NO ESPECIFICADO,NO DISPONIBLE,,,,,,,,,,,
DR.,"OSORIO SAUCEDO,RUPERTO",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE INGENIERIA ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MORALES ROMERO,ARQUIMEDES ALONSO",H,1,,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C.",AREA DE INVESTIGACION,GUANAJUATO,,,,,,,,,,,
DR.,"LARA RAMOS,LUIS FERNANDO",H,3,E,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS LINGUISTICOS Y LITERARIOS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JOSEPH NATHAN,PEDRO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
MTRA.,"OCAMPO ALFARO,AURORA MAURA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JUARISTI COSIO,EUSEBIO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"MORALES RIOS,MARTHA SONIA",M,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GOROSTIZA ORTEGA,LUIS GABRIEL",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE MATEMATICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MORON RIOS,MIGUEL ANGEL",H,3,,"INSTITUTO DE ECOLOGIA, A.C.",RED DE BIODIVERSIDAD Y SISTEMATICA,VERACRUZ,,,,,,,,,,,
DR.,"BONILLA ESTRADA,MOISES",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE INGENIERIA ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ORTEGA GUTIERREZ,FERNANDO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE GEOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"RICKARDS CAMPBELL,JORGE",H,3,E,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JOSE YACAMAN,MIGUEL",H,3,E,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FISICO-MATEMATICAS,NUEVO LEON,,,,,,,,,,,
DR.,"PEREZ CAMPOS,RAMIRO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE FISICA APLICADA Y TECNOLOGIA AVANZADA,QUERETARO,,,,,,,,,,,
DR.,"AVALOS BORJA,MIGUEL",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE NANOCIENCIAS Y NANOTECNOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"GOMEZ RODRIGUEZ,ALFREDO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CARPIZO MAC GREGOR,JORGE",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES JURIDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"COCHO GIL,ADONIS GERMINAL",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MARTINEZ MEKLER,GUSTAVO CARLOS",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS FISICAS,MORELOS,,,,,,,,,,,
DR.,"SCHABES RETCHKIMAN,PABLO SAMUEL",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"DE LA GARZA CAMINO,MERCEDES",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"GONZALEZ VALENZUELA,JULIANA",M,3,E,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE FILOSOFIA Y LETRAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LOPEZ AUSTIN,ALFREDO FEDERICO",H,3,E,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ANTROPOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ARAU ROFFIEL,JAIME EUGENIO",H,1,,CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO,CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO,MORELOS,,,,,,,,,,,
DRA.,"CYPHERS TOMIC,ANN MARIE",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ANTROPOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GAY GARCIA,CARLOS",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE CIENCIAS DE LA ATMOSFERA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"FERNANDEZ GARCIA,MARTHA RAQUEL",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ESTETICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SANCHEZ RESENDIZ,VICTOR MANUEL",H,2,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE INGENIERIA ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MUÐOZ RODRIGUEZ,DAVID",H,3,E,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEON,,,,,,,,,,,
DR.,"ALVAREZ GALLEGOS,JAIME",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE INGENIERIA ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LOZANO LEAL,ROGELIO",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,UNIDAD MIXTA INTERNACIONAL LABORATORIO FRNACO-MEXICANO DE INFORMATICA Y AUTOMATICA APLICADAS UMI-LAF,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ALVAREZ GALLEGOS,JOAQUIN",H,3,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE FISICA APLICADA,BAJA CALIFORNIA,,,,,,,,,,,
MED.,"REYES LOPEZ,PEDRO ANTONIO",H,3,,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,DIRECCION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ROSAS PEREZ,IRMA AURORA",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE CIENCIAS DE LA ATMOSFERA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"VON WOBESER HOEPFNER,GISELA",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES HISTORICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"DE ICAZA HERRERA,MIGUEL",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE FISICA APLICADA Y TECNOLOGIA AVANZADA,QUERETARO,,,,,,,,,,,
DR.,"VELAZQUEZ DELGADO,JORGE",H,2,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"AVILA SANCHEZ,FRANCISCO RAUL",H,3,,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS LINGUISTICOS Y LITERARIOS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"SERRA PUCHE,MARI CARMEN",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ANTROPOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GENOVES TARAZAGA,SANTIAGO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES ANTROPOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BUENO AGUILAR,GRACIELA MARGARITA",M,1,,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,"INSTITUTO DE SOCIOECONOMIA, ESTADISTICA E INFORMATICA","M?XICO, EDO. DE",,,,,,,,,,,
DR.,"MIELNIK MANWELOW,BOGDAN",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE MATEMATICAS,DISTRITO FEDERAL,,,,,,,,,,,
MED.,"LISKER YOURKOWITZKY,RUBEN",H,3,,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,DIRECCION DE CIRUGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"BOILS MORALES,GUILLERMO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES SOCIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LOPEZ ROMERO,EVERARDO",H,3,,UNIVERSIDAD DE GUANAJUATO,CAMPUS GUANAJUATO,GUANAJUATO,,,,,,,,,,,
DR.,"FLORES CARREON,ARTURO",H,2,,NO ESPECIFICADO,NO ESPECIFICADO,NO DISPONIBLE,,,,,,,,,,,
DR.,"TAMAYO Y SALMORAN,ROLANDO EDUARDO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE DERECHO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PEREZ MONTFORT,RUY ENRIQUE",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISIOLOGIA CELULAR,DISTRITO FEDERAL,,,,,,,,,,,
M. EN C.,"THIONS CHAUDY,CLAUDE",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GARCIA ESPINOSA,ROBERTO",H,2,,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,INSTITUTO DE FITOSANIDAD,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"ARIAS GALICIA,LUIS FERNANDO",H,3,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE PSICOLOGIA,MORELOS,,,,,,,,,,,
DR.,"CASTAINGTS TEILLERY,JUAN",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"DEL R?O CH?VEZ,IGNACIO ALEJANDRO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES HISTORICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ROMERO GALV?N,JOS? RUB?N",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES HISTORICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"HERNANDEZ HERNANDEZ,JUAN DIEGO",H,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,INSTITUTO DE INVESTIGACIONES QUIMICO BIOLOGICAS,MICHOACAN,,,,,,,,,,,
DRA.,"ROMAN MARIN,LUISA URANIA",M,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,INSTITUTO DE INVESTIGACIONES QUIMICO BIOLOGICAS,MICHOACAN,,,,,,,,,,,
DR.,"VIVEROS MALDONADO,GERMAN",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SANCHEZ ESQUIVEL,SERGIO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIOMEDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ESPINOSA GARCIA,GUILLERMO CIRANO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SOCOLOVSKY VAJOVSKY,MIGUEL",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ORTIZ CRUZ,ETELBERTO",H,3,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PEÐA CHAPA,JUAN LUIS",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,UNIDAD MERIDA,YUCATAN,,,,,,,,,,,
DR.,"KURI HARCUCH,WALID",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE BIOLOGIA CELULAR,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VIZCARRA MENDOZA,MARIO GONZALO",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"URIAS HERMOSILLO,JESUS",H,3,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE FISICA,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"GARCIA DIAZ,ALBERTO ALEJANDRO",H,3,E,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CHAMORRO ESCALANTE,JORGE ARTURO",H,2,,UNIVERSIDAD DE GUADALAJARA,"CENTRO UNIVERSITARIO DE ARTE, ARQUITECTURA Y DISEÐO",JALISCO,,,,,,,,,,,
DR.,"HERREJON PEREDO,CARLOS",H,3,,"EL COLEGIO DE MICHOACAN, A.C.",CENTRO DE ESTUDIOS DE GEOGRAFIA HUMANA,MICHOACAN,,,,,,,,,,,
DR.,"LIRA GONZALEZ,ANDRES",H,3,,"EL COLEGIO DE MEXICO, A.C.",PROGRAMA DE ESTUDIOS INTERDISCIPLINARIOS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ARIAS ROZAS,MARIA PATRICIA",M,3,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,JALISCO,,,,,,,,,,,
DR.,"VERNON CARTER,EDUARDO JAIME",H,3,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"DURAND ARP-NISEN,JORGE GUILLERMO",H,3,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,JALISCO,,,,,,,,,,,
DR.,"HEREDIA CORREA,ANTONIO ROBERTO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MIRANDA GODINEZ,FRANCISCO",H,2,,"EL COLEGIO DE MICHOACAN, A.C.",CENTRO DE ESTUDIOS DE LAS TRADICIONES,MICHOACAN,,,,,,,,,,,
DR.,"ACEVES RUIZ,JORGE",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,"DEPTO. DE FISIOLOGIA, BIOFISICA Y NEUROCIENCIAS",DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SALINAS BRAVO,VICTOR MANUEL",H,2,,INSTITUTO DE INVESTIGACIONES ELECTRICAS,DIVISION DE SISTEMAS MECANICOS,MORELOS,,,,,,,,,,,
DR.,"CERVANTES VEGA,CARLOS",H,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,INSTITUTO DE INVESTIGACIONES QUIMICO BIOLOGICAS,MICHOACAN,,,,,,,,,,,
DRA.,"VINIEGRA RAMIREZ,MARGARITA",M,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LUGO HUBP,JOSE INOCENTE",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE GEOGRAFIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"OTERO COLINA,GABRIEL",H,2,,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,CAMPUS MONTECILLO,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"CARRION VIRAMONTES,FRANCISCO JAVIER",H,1,,SECRETARIA DE COMUNICACIONES Y TRANSPORTES,INSTITUTO MEXICANO DEL TRANSPORTE,QUERETARO,,,,,,,,,,,
DR.,"DE URQUIJO CARMONA,JAIME",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS FISICAS,MORELOS,,,,,,,,,,,
DR.,"URRUTIA RIOS,LUIS FERNANDO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PAZOS RANGEL,RODOLFO ABRAHAM",H,2,,INSTITUTO TECNOLOGICO DE CIUDAD MADERO,INSTITUTO TECNOLOGICO DE CIUDAD MADERO,TAMAULIPAS,,,,,,,,,,,
DR.,"GALAZ FONTES,JESUS FRANCISCO",H,2,,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,CAMPUS MEXICALI,BAJA CALIFORNIA,,,,,,,,,,,
DRA.,"SANTILLAN BACA,ROSA LUISA",M,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"FARFAN GARCIA,JOSE NORBERTO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SERRANO GOMEZ,ENRIQUE",H,2,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BURILLO AMEZCUA,SOFIA GUILLERMINA",M,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
